2020-10-29 01:30:00,055 INFO [xxl-rpc, EmbedServer bizThreadPool-1951558370] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@4e735211
2020-10-29 01:31:33,038 INFO [Thread-635] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-635,10,main]
2020-10-29 01:31:35,800 INFO [Thread-638] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-638,10,main]
2020-10-29 01:35:00,031 INFO [xxl-rpc, EmbedServer bizThreadPool-273464498] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@13bcb8b1
2020-10-29 01:35:00,056 INFO [xxl-rpc, EmbedServer bizThreadPool-273464498] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@1d7b44b6
2020-10-29 01:36:33,064 INFO [Thread-644] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-644,10,main]
2020-10-29 01:36:35,806 INFO [Thread-641] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-641,10,main]
2020-10-29 01:40:00,031 INFO [xxl-rpc, EmbedServer bizThreadPool-487329922] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:3, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@30fa6b54
2020-10-29 01:40:00,056 INFO [xxl-rpc, EmbedServer bizThreadPool-487329922] c.x.job.core.executor.XxlJobExecutor [XxlJobExecutor.java : 181] >>>>>>>>>>> xxl-job regist JobThread success, jobId:2, handler:com.xxl.job.core.handler.impl.ScriptJobHandler@3e3d833b
2020-10-29 01:41:33,065 INFO [Thread-650] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-650,10,main]
2020-10-29 01:41:35,474 INFO [Thread-647] com.xxl.job.core.thread.JobThread [JobThread.java : 219] >>>>>>>>>>> xxl-job JobThread stoped, hashCode:Thread[Thread-647,10,main]
